id_snippet,modello,layer_locus,cos_sim_stesso_layer,cos_sim_penultimo_layer
331,meta-llama/Llama-3.1-8B-Instruct,15,,-0.188720703125
332,meta-llama/Llama-3.1-8B-Instruct,15,,-0.19140625
333,meta-llama/Llama-3.1-8B-Instruct,15,,-0.19970703125
334,meta-llama/Llama-3.1-8B-Instruct,15,,-0.20556640625
335,meta-llama/Llama-3.1-8B-Instruct,15,,-0.213623046875
336,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2099609375
337,meta-llama/Llama-3.1-8B-Instruct,15,,-0.216796875
338,meta-llama/Llama-3.1-8B-Instruct,15,,-0.176025390625
339,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2144775390625
340,meta-llama/Llama-3.1-8B-Instruct,15,,-0.198974609375
341,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1759033203125
342,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2049560546875
343,meta-llama/Llama-3.1-8B-Instruct,15,,-0.197265625
344,meta-llama/Llama-3.1-8B-Instruct,15,,-0.21484375
345,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1981201171875
347,meta-llama/Llama-3.1-8B-Instruct,15,,-0.173583984375
348,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2108154296875
350,meta-llama/Llama-3.1-8B-Instruct,15,,-0.176025390625
351,meta-llama/Llama-3.1-8B-Instruct,15,,-0.171142578125
352,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2061767578125
353,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1766357421875
354,meta-llama/Llama-3.1-8B-Instruct,15,,-0.185302734375
355,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1737060546875
356,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2110595703125
357,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1927490234375
358,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1937255859375
359,meta-llama/Llama-3.1-8B-Instruct,15,,-0.18359375
361,meta-llama/Llama-3.1-8B-Instruct,15,,-0.17578125
362,meta-llama/Llama-3.1-8B-Instruct,15,,-0.177734375
363,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2095947265625
365,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1962890625
366,meta-llama/Llama-3.1-8B-Instruct,15,,-0.177490234375
367,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2020263671875
368,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1993408203125
369,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2066650390625
370,meta-llama/Llama-3.1-8B-Instruct,15,,-0.19140625
371,meta-llama/Llama-3.1-8B-Instruct,15,,-0.175537109375
372,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2138671875
373,meta-llama/Llama-3.1-8B-Instruct,15,,-0.177490234375
374,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1934814453125
375,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1890869140625
376,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1717529296875
377,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1680908203125
378,meta-llama/Llama-3.1-8B-Instruct,15,,-0.2056884765625
379,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1929931640625
380,meta-llama/Llama-3.1-8B-Instruct,15,,-0.1939697265625
381,meta-llama/Llama-3.1-8B-Instruct,15,,-0.177001953125
